File Name	Input	Output	Count
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Cupin_6	HTH_18	8
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Yop-YscD_cpl	Pkinase	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	SBP_bac_3	Pkinase	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Ada_Zn_binding	HTH_18	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	AlkA_N	HTH_18	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TPR_12	HTH_Crp_2	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	AHSA1	HTH_20	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	PAS	HTH_22	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_26	4
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Cupin_2	HTH_3	8
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_34	3
Actinomadura_parvosata_subsp_kistnaeATCC_55076	ROK	HTH_24	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	AhpC-TSA	HxlR	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_6	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Rhodanese	HTH_20	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	GAF	ANTAR	4
Actinomadura_parvosata_subsp_kistnaeATCC_55076	DUF4115	HTH_25	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_Crp_2	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Cupin_2	HTH_31	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	HrcA	HTH_DeoR	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	AraC_binding	HTH_18	7
Actinomadura_parvosata_subsp_kistnaeATCC_55076	AraC_binding_2	HTH_18	4
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	TrmB	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	PAS	ANTAR	3
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	ANTAR	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TOBE	HTH_17	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	LMWPc	HTH_5	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Peripla_BP_1	LacI	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TipAS	MerR	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	GyrI-like	MerR	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	EPSP_synthase	HTH_3	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	Trans_reg_C	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	AraC_N	HTH_18	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TetR_C_8	TetR_N	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TPR_12	HTH_31	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	HEM4	Trans_reg_C	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Alkyl_sulf_C	HxlR	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	LAGLIDADG_WhiA	HTH_WhiA	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	WhiA_N	HTH_WhiA	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Arg_repressor_C	Arg_repressor	1
Agromyces_flavus_CPCC_202695	None	HxlR	3
Agromyces_flavus_CPCC_202695	Peripla_BP_3	LacI	20
Agromyces_flavus_CPCC_202695	Peripla_BP_1	LacI	1
Agromyces_flavus_CPCC_202695	None	TetR_N	17
Agromyces_flavus_CPCC_202695	DJ-1_PfpI	HTH_18	2
Agromyces_flavus_CPCC_202695	None	Guanylate_cyc	7
Agromyces_flavus_CPCC_202695	TetR_C_6	TetR_N	5
Agromyces_flavus_CPCC_202695	TetR_C_4	TetR_N	1
Agromyces_flavus_CPCC_202695	UTRA	GntR	1
Agromyces_flavus_CPCC_202695	Aminotran_1_2	GntR	4
Agromyces_flavus_CPCC_202695	TipAS	MerR_1	1
Agromyces_flavus_CPCC_202695	None	PadR	5
Agromyces_flavus_CPCC_202695	None	FUR	2
Agromyces_flavus_CPCC_202695	None	HTH_26	2
Agromyces_flavus_CPCC_202695	Fe_dep_repr_C	Fe_dep_repress	2
Agromyces_flavus_CPCC_202695	FeoA	Fe_dep_repress	1
Agromyces_flavus_CPCC_202695	LysR_substrate	HTH_1	10
Agromyces_flavus_CPCC_202695	FCD	GntR	14
Agromyces_flavus_CPCC_202695	None	Pkinase	8
Agromyces_flavus_CPCC_202695	None	HTH_20	14
Agromyces_flavus_CPCC_202695	LMWPc	HTH_20	1
Agromyces_flavus_CPCC_202695	None	HTH_5	2
Agromyces_flavus_CPCC_202695	PAS	GGDEF	1
Agromyces_flavus_CPCC_202695	None	EAL	1
Agromyces_flavus_CPCC_202695	None	MerR_1	4
Agromyces_flavus_CPCC_202695	IclR	HTH_IclR	4
Agromyces_flavus_CPCC_202695	TOBE	HTH_17	1
Agromyces_flavus_CPCC_202695	None	GntR	4
Agromyces_flavus_CPCC_202695	None	MarR_2	14
Agromyces_flavus_CPCC_202695	None	Trans_reg_C	2
Agromyces_flavus_CPCC_202695	None	GerE	7
Agromyces_flavus_CPCC_202695	None	HTH_18	5
Agromyces_flavus_CPCC_202695	None	HTH_3	6
Agromyces_flavus_CPCC_202695	None	HTH_31	4
Agromyces_flavus_CPCC_202695	TetR_C	TetR_N	5
Agromyces_flavus_CPCC_202695	SIS	HTH_6	1
Agromyces_flavus_CPCC_202695	PucR	HTH_30	2
Agromyces_flavus_CPCC_202695	Acetyltransf_1	MarR_2	1
Agromyces_flavus_CPCC_202695	WYL	HTH_11	2
Agromyces_flavus_CPCC_202695	AsnC_trans_reg	HTH_AsnC-type	8
Agromyces_flavus_CPCC_202695	Peripla_BP_3	GntR	1
Agromyces_flavus_CPCC_202695	Cupin_2	HTH_31	1
Agromyces_flavus_CPCC_202695	None	HTH_17	1
Agromyces_flavus_CPCC_202695	Peptidase_S24	LexA_DNA_bind	1
Agromyces_flavus_CPCC_202695	AraC_binding_2	HTH_18	1
Agromyces_flavus_CPCC_202695	Sugar-bind	MarR_2	1
Agromyces_flavus_CPCC_202695	None	MarR	2
Agromyces_flavus_CPCC_202695	None	GGDEF	1
Agromyces_flavus_CPCC_202695	Ada_Zn_binding	HTH_18	1
Agromyces_flavus_CPCC_202695	AlkA_N	HTH_18	1
Agromyces_flavus_CPCC_202695	WHG	TetR_N	1
Agromyces_flavus_CPCC_202695	LAGLIDADG_WhiA	HTH_WhiA	1
Agromyces_flavus_CPCC_202695	WhiA_N	HTH_WhiA	1
Agromyces_flavus_CPCC_202695	HEM4	Trans_reg_C	1
Agromyces_flavus_CPCC_202695	None	HTH_30	1
Agromyces_flavus_CPCC_202695	None	Sigma70_r2	1
Agromyces_flavus_CPCC_202695	None	Sigma70_r3	1
Agromyces_flavus_CPCC_202695	None	Sigma70_r4	1
Agromyces_flavus_CPCC_202695	BTAD	Trans_reg_C	4
Agromyces_flavus_CPCC_202695	None	HTH_34	1
Agromyces_flavus_CPCC_202695	DeoRC	HTH_DeoR	2
Agromyces_flavus_CPCC_202695	PRD	HTH_11	1
Agromyces_flavus_CPCC_202695	PTS_EIIA_2	HTH_11	1
Agromyces_flavus_CPCC_202695	ROK	HTH_24	1
Agrococcus_beijingensis_REN33	None	TetR_N	15
Agrococcus_beijingensis_REN33	None	MarR_2	7
Agrococcus_beijingensis_REN33	Peripla_BP_3	LacI	3
Agrococcus_beijingensis_REN33	LMWPc	HTH_5	2
Agrococcus_beijingensis_REN33	None	MerR	1
Agrococcus_beijingensis_REN33	None	MerR_1	4
Agrococcus_beijingensis_REN33	None	Pkinase	6
Agrococcus_beijingensis_REN33	DJ-1_PfpI	HTH_18	2
Agrococcus_beijingensis_REN33	None	HTH_20	12
Agrococcus_beijingensis_REN33	AsnC_trans_reg	HTH_AsnC-type	3
Agrococcus_beijingensis_REN33	None	HTH_17	3
Agrococcus_beijingensis_REN33	TetR_C	TetR_N	3
Agrococcus_beijingensis_REN33	None	GerE	2
Agrococcus_beijingensis_REN33	None	PadR	5
Agrococcus_beijingensis_REN33	PucR	HTH_30	1
Agrococcus_beijingensis_REN33	None	HTH_26	2
Agrococcus_beijingensis_REN33	IclR	HTH_IclR	6
Agrococcus_beijingensis_REN33	TipAS	MerR_1	1
Agrococcus_beijingensis_REN33	None	HTH_3	1
Agrococcus_beijingensis_REN33	LysR_substrate	HTH_1	8
Agrococcus_beijingensis_REN33	None	GntR	1
Agrococcus_beijingensis_REN33	None	GGDEF	1
Agrococcus_beijingensis_REN33	FCD	GntR	9
Agrococcus_beijingensis_REN33	LAGLIDADG_WhiA	HTH_WhiA	1
Agrococcus_beijingensis_REN33	WhiA_N	HTH_WhiA	1
Agrococcus_beijingensis_REN33	None	HTH_5	5
Agrococcus_beijingensis_REN33	Aminotran_1_2	GntR	1
Agrococcus_beijingensis_REN33	None	FUR	2
Agrococcus_beijingensis_REN33	Peptidase_S24	LexA_DNA_bind	1
Agrococcus_beijingensis_REN33	None	HTH_31	5
Agrococcus_beijingensis_REN33	Fe_dep_repr_C	Fe_dep_repress	2
Agrococcus_beijingensis_REN33	FeoA	Fe_dep_repress	2
Agrococcus_beijingensis_REN33	BTAD	Trans_reg_C	1
Agrococcus_beijingensis_REN33	None	Sigma70_r2	1
Agrococcus_beijingensis_REN33	None	Sigma70_r3	1
Agrococcus_beijingensis_REN33	None	Sigma70_r4	1
Agrococcus_beijingensis_REN33	None	HxlR	1
Agrococcus_beijingensis_REN33	DeoRC	HTH_DeoR	1
Agrococcus_beijingensis_REN33	None	HTH_30	1
Agrococcus_beijingensis_REN33	None	HTH_18	4
Agrococcus_beijingensis_REN33	None	HTH_IclR	1
Agrococcus_beijingensis_REN33	WHG	TetR_N	3
Agrococcus_beijingensis_REN33	LMWPc	HTH_20	1
Agrococcus_beijingensis_REN33	None	Trans_reg_C	2
Agrococcus_beijingensis_REN33	DUF2637	HTH_23	1
Agrococcus_beijingensis_REN33	None	Vir_act_alpha_C	1
Agrococcus_beijingensis_REN33	None	MarR	1
Agrococcus_beijingensis_REN33	None	RHH_1	1
Agrococcus_beijingensis_REN33	GAF	ANTAR	2
Aeromicrobium_chenweiae_592	None	Pkinase	10
Aeromicrobium_chenweiae_592	None	PadR	5
Aeromicrobium_chenweiae_592	None	Vir_act_alpha_C	1
Aeromicrobium_chenweiae_592	None	MerR_1	7
Aeromicrobium_chenweiae_592	None	TetR_N	55
Aeromicrobium_chenweiae_592	None	HxlR	6
Aeromicrobium_chenweiae_592	FCD	GntR	6
Aeromicrobium_chenweiae_592	LysR_substrate	HTH_1	8
Aeromicrobium_chenweiae_592	None	GGDEF	4
Aeromicrobium_chenweiae_592	TetR_C_11	TetR_N	3
Aeromicrobium_chenweiae_592	AsnC_trans_reg	HTH_24	2
Aeromicrobium_chenweiae_592	IclR	HTH_IclR	12
Aeromicrobium_chenweiae_592	Peripla_BP_3	LacI	3
Aeromicrobium_chenweiae_592	None	MarR	8
Aeromicrobium_chenweiae_592	TetR_C	TetR_N	2
Aeromicrobium_chenweiae_592	None	HTH_31	10
Aeromicrobium_chenweiae_592	TetR_C_6	TetR_N	3
Aeromicrobium_chenweiae_592	None	HTH_17	3
Aeromicrobium_chenweiae_592	CoA_binding	Put_DNA-bind_N	1
Aeromicrobium_chenweiae_592	TPR_10	GerE	1
Aeromicrobium_chenweiae_592	GAF	ANTAR	7
Aeromicrobium_chenweiae_592	TetR_C_7	TetR_N	1
Aeromicrobium_chenweiae_592	None	GerE	8
Aeromicrobium_chenweiae_592	None	MarR_2	10
Aeromicrobium_chenweiae_592	WHG	TetR_N	1
Aeromicrobium_chenweiae_592	None	HTH_18	3
Aeromicrobium_chenweiae_592	TOBE	HTH_17	1
Aeromicrobium_chenweiae_592	UTRA	GntR	2
Aeromicrobium_chenweiae_592	Aminotran_1_2	GntR	1
Aeromicrobium_chenweiae_592	None	FUR	2
Aeromicrobium_chenweiae_592	AsnC_trans_reg	HTH_AsnC-type	4
Aeromicrobium_chenweiae_592	None	HTH_IclR	2
Aeromicrobium_chenweiae_592	None	GntR	1
Aeromicrobium_chenweiae_592	None	Guanylate_cyc	2
Aeromicrobium_chenweiae_592	None	HTH_30	3
Aeromicrobium_chenweiae_592	Peptidase_S24	LexA_DNA_bind	1
Aeromicrobium_chenweiae_592	PG_binding_1	Pkinase	1
Aeromicrobium_chenweiae_592	None	MerR	2
Aeromicrobium_chenweiae_592	None	MerR-DNA-bind	1
Aeromicrobium_chenweiae_592	None	HTH_20	3
Aeromicrobium_chenweiae_592	Arg_repressor_C	Arg_repressor	1
Aeromicrobium_chenweiae_592	TetR_C_13	TetR_N	1
Aeromicrobium_chenweiae_592	EPSP_synthase	HTH_3	1
Aeromicrobium_chenweiae_592	PAS	EAL	2
Aeromicrobium_chenweiae_592	PAS	GGDEF	2
Aeromicrobium_chenweiae_592	None	Rrf2	2
Aeromicrobium_chenweiae_592	None	HTH_3	2
Aeromicrobium_chenweiae_592	LAGLIDADG_WhiA	HTH_WhiA	1
Aeromicrobium_chenweiae_592	WhiA_N	HTH_WhiA	1
Aeromicrobium_chenweiae_592	Cupin_2	HTH_31	1
Aeromicrobium_chenweiae_592	None	HTH_26	1
Aeromicrobium_chenweiae_592	None	HTH_27	2
Aeromicrobium_chenweiae_592	DeoRC	HTH_DeoR	1
Aeromicrobium_chenweiae_592	None	Sigma70_r2	1
Aeromicrobium_chenweiae_592	None	Sigma70_r3	1
Aeromicrobium_chenweiae_592	None	Sigma70_r4	1
Aeromicrobium_chenweiae_592	Peripla_BP_4	LacI	1
Aeromicrobium_chenweiae_592	None	SpoIIE	1
Aeromicrobium_chenweiae_592	Ada_Zn_binding	HTH_18	1
Aeromicrobium_chenweiae_592	AlkA_N	HTH_18	1
Aeromicrobium_chenweiae_592	HrcA	HTH_DeoR	1
Aeromicrobium_chenweiae_592	BTAD	Trans_reg_C	1
Aeromicrobium_chenweiae_592	None	EAL	2
Aeromicrobium_chenweiae_592	None	TrmB	1
Aeromicrobium_chenweiae_592	Fe_dep_repr_C	Fe_dep_repress	1
Aeromicrobium_chenweiae_592	PucR	HTH_30	1
Aeromicrobium_chenweiae_592	None	ANTAR	2
Aeromicrobium_chenweiae_592	cNMP_binding	HTH_Crp_2	1
Aeromicrobium_chenweiae_592	WYL	HTH_11	1
Aeromicrobium_chenweiae_592	PAS	SpoIIE	2
Aeromicrobium_chenweiae_592	GAF	SpoIIE	1
Aeromicrobium_chenweiae_592	PHY	SpoIIE	1
Aeromicrobium_chenweiae_592	GAF	GGDEF	1
Aeromicrobium_chenweiae_592	None	HTH_5	1
Agromyces_marinus_DSM_26151	None	Pkinase	7
Agromyces_marinus_DSM_26151	None	HTH_17	4
Agromyces_marinus_DSM_26151	None	TetR_N	25
Agromyces_marinus_DSM_26151	FCD	GntR	13
Agromyces_marinus_DSM_26151	LMWPc	HTH_20	1
Agromyces_marinus_DSM_26151	None	MarR_2	6
Agromyces_marinus_DSM_26151	DeoRC	HTH_DeoR	3
Agromyces_marinus_DSM_26151	Aminotran_1_2	GntR	4
Agromyces_marinus_DSM_26151	TetR_C	TetR_N	5
Agromyces_marinus_DSM_26151	Peripla_BP_3	LacI	10
Agromyces_marinus_DSM_26151	None	HTH_20	8
Agromyces_marinus_DSM_26151	LysR_substrate	HTH_1	9
Agromyces_marinus_DSM_26151	None	GntR	5
Agromyces_marinus_DSM_26151	AsnC_trans_reg	HTH_AsnC-type	7
Agromyces_marinus_DSM_26151	IclR	HTH_IclR	3
Agromyces_marinus_DSM_26151	None	Trans_reg_C	2
Agromyces_marinus_DSM_26151	PucR	HTH_30	2
Agromyces_marinus_DSM_26151	None	GerE	5
Agromyces_marinus_DSM_26151	None	HxlR	2
Agromyces_marinus_DSM_26151	None	HTH_3	5
Agromyces_marinus_DSM_26151	None	MarR	3
Agromyces_marinus_DSM_26151	None	PadR	6
Agromyces_marinus_DSM_26151	None	HTH_30	2
Agromyces_marinus_DSM_26151	AsnC_trans_reg	HTH_24	1
Agromyces_marinus_DSM_26151	ROK	MarR_2	1
Agromyces_marinus_DSM_26151	Cupin_2	HTH_31	1
Agromyces_marinus_DSM_26151	None	HTH_31	4
Agromyces_marinus_DSM_26151	None	Guanylate_cyc	4
Agromyces_marinus_DSM_26151	AraC_binding_2	HTH_18	1
Agromyces_marinus_DSM_26151	None	RHH_1	3
Agromyces_marinus_DSM_26151	None	HTH_1	1
Agromyces_marinus_DSM_26151	TetR_C_6	TetR_N	4
Agromyces_marinus_DSM_26151	Sugar-bind	MarR_2	1
Agromyces_marinus_DSM_26151	DJ-1_PfpI	HTH_18	2
Agromyces_marinus_DSM_26151	Ada_Zn_binding	HTH_18	1
Agromyces_marinus_DSM_26151	AlkA_N	HTH_18	1
Agromyces_marinus_DSM_26151	Peptidase_S24	LexA_DNA_bind	1
Agromyces_marinus_DSM_26151	None	MerR	1
Agromyces_marinus_DSM_26151	None	MerR_1	2
Agromyces_marinus_DSM_26151	WHG	TetR_N	2
Agromyces_marinus_DSM_26151	None	Sigma70_r2	1
Agromyces_marinus_DSM_26151	None	Sigma70_r3	1
Agromyces_marinus_DSM_26151	None	Sigma70_r4	1
Agromyces_marinus_DSM_26151	None	HTH_26	2
Agromyces_marinus_DSM_26151	None	HTH_18	1
Agromyces_marinus_DSM_26151	LAGLIDADG_WhiA	HTH_WhiA	1
Agromyces_marinus_DSM_26151	WhiA_N	HTH_WhiA	1
Agromyces_marinus_DSM_26151	HEM4	Trans_reg_C	1
Agromyces_marinus_DSM_26151	Arabinose_bd	HTH_18	1
Agromyces_marinus_DSM_26151	None	HTH_IclR	1
Agromyces_marinus_DSM_26151	Fe_dep_repr_C	Fe_dep_repress	2
Agromyces_marinus_DSM_26151	FeoA	Fe_dep_repress	2
Agromyces_marinus_DSM_26151	WYL	HTH_11	1
Agromyces_marinus_DSM_26151	ROK	HTH_24	1
Agromyces_marinus_DSM_26151	TetR_C_4	TetR_N	1
Agromyces_marinus_DSM_26151	TOBE	HTH_17	1
Agromyces_marinus_DSM_26151	UTRA	GntR	1
Agromyces_marinus_DSM_26151	TipAS	MerR_1	1
Agromyces_marinus_DSM_26151	None	FUR	2
Agromyces_marinus_DSM_26151	None	HTH_5	2
Actinoplanes_ianthinogenes_NBRC_13996	WYL	HTH_11	8
Actinoplanes_ianthinogenes_NBRC_13996	None	PadR	32
Actinoplanes_ianthinogenes_NBRC_13996	None	Vir_act_alpha_C	5
Actinoplanes_ianthinogenes_NBRC_13996	None	TetR_N	89
Actinoplanes_ianthinogenes_NBRC_13996	TetR_C	TetR_N	24
Actinoplanes_ianthinogenes_NBRC_13996	None	GerE	37
Actinoplanes_ianthinogenes_NBRC_13996	None	HTH_18	19
Actinoplanes_ianthinogenes_NBRC_13996	AraC_binding_2	HTH_18	8
Actinoplanes_ianthinogenes_NBRC_13996	None	HTH_20	26
Actinoplanes_ianthinogenes_NBRC_13996	Aminotran_1_2	GntR	10
Actinoplanes_ianthinogenes_NBRC_13996	LysR_substrate	HTH_1	37
Actinoplanes_ianthinogenes_NBRC_13996	TetR_C_11	TetR_N	14
Actinoplanes_ianthinogenes_NBRC_13996	None	FUR	4
Actinoplanes_ianthinogenes_NBRC_13996	None	GGDEF	66
Actinoplanes_ianthinogenes_NBRC_13996	SIS	HTH_6	5
Actinoplanes_ianthinogenes_NBRC_13996	None	HTH_31	40
Actinoplanes_ianthinogenes_NBRC_13996	None	MarR_2	29
Actinoplanes_ianthinogenes_NBRC_13996	Cupin_2	HTH_3	4
Actinoplanes_ianthinogenes_NBRC_13996	None	EAL	36
Actinoplanes_ianthinogenes_NBRC_13996	None	MarR	22
Actinoplanes_ianthinogenes_NBRC_13996	Peripla_BP_3	LacI	38
Actinoplanes_ianthinogenes_NBRC_13996	DJ-1_PfpI	HTH_18	8
Actinoplanes_ianthinogenes_NBRC_13996	None	HTH_5	12
Actinoplanes_ianthinogenes_NBRC_13996	None	Pkinase	31
Actinoplanes_ianthinogenes_NBRC_13996	None	HxlR	17
Actinoplanes_ianthinogenes_NBRC_13996	None	MerR_1	22
Actinoplanes_ianthinogenes_NBRC_13996	Methyltransf_11	MerR	1
Actinoplanes_ianthinogenes_NBRC_13996	AsnC_trans_reg	HTH_AsnC-type	11
Actinoplanes_ianthinogenes_NBRC_13996	Redoxin	MerR_1	1
Actinoplanes_ianthinogenes_NBRC_13996	GAF	HTH_30	1
Actinoplanes_ianthinogenes_NBRC_13996	None	HTH_3	6
Actinoplanes_ianthinogenes_NBRC_13996	ROK	HTH_24	4
Actinoplanes_ianthinogenes_NBRC_13996	PaaX_C	PaaX	3
Actinoplanes_ianthinogenes_NBRC_13996	Cupin_6	HTH_18	3
Actinoplanes_ianthinogenes_NBRC_13996	TetR_C_6	TetR_N	14
Actinoplanes_ianthinogenes_NBRC_13996	GAF	GGDEF	6
Actinoplanes_ianthinogenes_NBRC_13996	PAS	GGDEF	16
Actinoplanes_ianthinogenes_NBRC_13996	None	HTH_34	3
Actinoplanes_ianthinogenes_NBRC_13996	None	ANTAR	1
Actinoplanes_ianthinogenes_NBRC_13996	None	MerR	3
Actinoplanes_ianthinogenes_NBRC_13996	FCD	GntR	9
Actinoplanes_ianthinogenes_NBRC_13996	None	HDOD	1
Actinoplanes_ianthinogenes_NBRC_13996	UTRA	GntR	9
